elo_rank,wow_rank_change,team_nick,team_logo_espn,offensive_rank,defensive_rank,team,team_color,nfelo,_538_qb_adj,spread_val,wow_spread_val,soy_spread_val,soy_rank_change,wins,points_for_ytd,points_against_ytd,point_dif_ytd,film_dif_ytd,epa_per_play_ytd,epa_per_pass_ytd,epa_per_rush_ytd,epa_per_play_against_ytd,epa_per_pass_against_ytd,epa_per_rush_against_ytd,net_epa_per_play_ytd,wepa_margin_ytd,wepa_for_ytd,wepa_against_ytd,expected_wins_538_ytd,expected_wins_pff_ytd,qb_value_538_ytd,pythag_wins,nfelo_rank,point_dif_ytd_rank,net_epa_per_play_ytd_rank,epa_per_play_ytd_rank,epa_per_pass_ytd_rank,epa_per_rush_ytd_rank,epa_per_play_against_ytd_rank,epa_per_pass_against_ytd_rank,epa_per_rush_against_ytd_rank,season,week
1,0,Lions,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,1,4,DET,#0076B6,1682,-8,6.7,-0.5,3.2,5,8,284,171,113,94.71068983,0.1017632926,0.2107012697,0.03240014122,-0.136831764,-0.1333231701,-0.1160755774,0.2385950566,99.6954677,8.08012463,-2.40355385,5.54966064,9,157.3614462,6.920445272,1,1,1,4,4,3,3,2,12,2024,10
2,0,Ravens,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,2,26,BAL,#241773,1679,39,6.6,0.1,2,2,7,318,253,65,109.6939468,0.2409068912,0.4627339112,0.0185247273,0.04749013108,0.1454973714,-0.1792646626,0.1934167601,92.50129741,14.18448291,5.43575983,6.37237618,8,342.223618,6.322609658,6,7,4,1,1,4,26,27,3,2024,10
3,1,Bills,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,3,10,BUF,#00338D,1667,-2,6.1,0,1,0,8,290,193,97,26.62684965,0.1642200468,0.2727324308,0.03574050835,-0.04049498687,0.04579441405,-0.1224944398,0.2047150337,99.97488288,10.26340032,0.8050268412,6.83557453,6,230.7594062,7.24130169,2,2,2,3,3,2,11,16,10,2024,10
4,-1,Chiefs,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,14,8,KC,#E31837,1658,-7,5.7,-0.5,-0.3,-3,9,219,161,58,68.83522177,0.0585305527,0.1245064861,-0.06466860843,-0.02881423432,0.04377464827,-0.1296496643,0.08734478702,66.17133207,6.603497108,-0.3432177769,6.59678463,8,177.6294922,6.071611244,3,9,11,10,10,13,13,15,6,2024,10
5,0,Eagles,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,8,15,PHI,#004C54,1650,11,5.4,2,4.6,6,7,233,161,72,76.81063151,0.07694636871,0.1664392007,0.04030878375,-0.1169536803,-0.09929972774,-0.1246211132,0.193900049,76.01889658,5.911131379,-2.074550788,5.12526605,7,226.428936,6.353994993,5,4,3,6,8,1,4,3,9,2024,10
5,0,49ers,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,10,13,SF,#AA0000,1650,10,5.4,0.6,-0.2,-3,5,233,202,31,64.87170947,0.09402201623,0.2040333579,-0.0550181287,-0.05036949415,-0.03536516629,-0.08759861799,0.1443915104,40.17053595,6.45241996,2.248919043,5.9432039,6,207.1598741,5.254143466,4,11,7,5,5,11,10,8,16,2024,10
7,2,Bengals,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,5,30,CIN,#FB4F14,1597,20,3.3,0.7,0.9,1,4,270,262,8,-23.15417314,0.06701082636,0.168420904,-0.1114406332,0.06932103686,0.1562029616,-0.01227775609,-0.002310210497,31.25467091,9.075996923,6.142916298,5.23250946,4,247.053771,5.178133499,8,15.5,16,7,6,22,28,28,29,2024,10
8,-1,Commanders,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,4,19,WAS,#5A1414,1584,23,2.8,-0.3,7.3,23,7,290,217,73,23.31083012,0.1726797243,0.2962994698,0.01787509369,-0.009618522921,-0.004772676242,-0.01785692904,0.1822982472,98.39874512,13.23016501,3.921453142,4.53022018,6,228.7086395,6.653573591,10,3,5,2,2,5,20,12,28,2024,10
9,2,Vikings,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,13,3,MIN,#4F2683,1582,-8,2.7,0.2,4,13,7,221,157,64,52.66833079,0.00182811412,0.07589430746,-0.08498550225,-0.169168732,-0.0743792102,-0.2932310101,0.1709968461,65.82463472,2.435632288,-4.474504034,5.11623345,8,147.7614256,6.229643401,7,8,6,14,14,16,1,5,1,2024,10
10,-2,Steelers,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,18,2,PIT,#000000,1580,32,2.6,-0.3,2.7,8,7,215,146,69,66.34156847,0.006049617234,0.1111301296,-0.09485562424,-0.1031437331,-0.05782559364,-0.1686306371,0.1091933503,57.42470071,3.939450582,-2.084451128,5.53554464,8,177.4203716,6.430359486,12,5,10,13,12,19,6,6,4,2024,10
