"qb","first_name","last_name","season","games_started","spread_val","spread_val_wow","spread_val_ytd","rank","win_pct","average_qb_elo","average_qb_elo_era_adj","headshot_url","team","gsis_id","espn_id","birth_date","height","weight","jersey_number","college","unique_id","position","qb_plays","pass_atts","pass_comp","inc","int","td","passing_yards","sacks","sack_yards","rush_atts","rush_yards","rush_tds","yards_p_att","td_rate","int_rate","comp_pct","td_int_net_rate","yards_per_carry","any_a","passer_rating","adot","v_sticks","cpoe","total_epa","avg_epa","succsess_rate","qb_rush_epa_delta","sack_epa_delta","incomplete_epa_delta","interception_epa_delta","completion_air_epa_delta","completion_yac_epa_delta","net_penalty_epa_delta","other_outcome_epa_delta","wpa","wins","losses","ties","comebacks","total_wpa","games_played","qbr_total","team_nick","team_logo_espn","team_color","team_color2"
"Lamar Jackson","Lamar","Jackson","2024","10","4.770646200000001","0.486869200000001","2.893691600000001","1.0","0.7","342.223618","172.740073","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cruqs6qpbykh7a2whd7p","BAL","00-0034796","3916387.0","1997-01-07","74.0","212.0","8.0","Louisville","00-0034796_2024","#8","327.0","284","199.0","83.0","2.0","24.0","2669.0","13.0","-94.0","81","524.0","2.0","9.397887323943662","0.0845070422535211","0.0070422535211267","0.7007042253521126","0.0774647887323943","6.469135802469136","9.983164983164984","124.86795774647888","8.109154929577464","-1.4929577464788732","5.898587632246376","138.8377774875","0.3436578650680693","0.5445544554455446","0.0045522151110509","0.0489384217845751","0.0619780293235346","0.0507568421016805","0.0781173877172097","0.0637547471714793","-0.0206141042370604","2.0911030531416025e-05","0.0080947595437673","7","3","0","3","3.2702828556820003","10","77.0","Ravens","https://a.espncdn.com/i/teamlogos/nfl/500/bal.png","#241773","#9E7C0C"
"Josh Allen","Joshua","Allen","2024","10","2.7548178000000005","-0.2992167999999992","-0.6372735999999998","2.0","0.8","230.7594062","61.27586120000001","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lq4ezafbszwwt2qsvhqv","BUF","00-0034857","3918298.0","1996-05-21","77.0","237.0","17.0","Wyoming","00-0034857_2024","#17","337.0","298","190.0","104.0","4.0","17.0","2281.0","13.0","-61.0","50","266.0","4.0","7.654362416107382","0.0570469798657718","0.0134228187919463","0.6375838926174496","0.0436241610738255","5.32","7.652733118971061","100.53131991051454","7.74496644295302","-1.3691275167785235","1.044553780141844","103.39654140251","0.266485931449768","0.5128865979381443","0.0402860042537987","0.0519785347227194","0.0101068715117299","0.0222415198525225","-0.0108130581847245","0.1015762139438586","-0.00516834266413","0.0001247794688655","0.0064505065157087","8","2","0","2","2.502796528095","10","70.0","Bills","https://a.espncdn.com/i/teamlogos/nfl/500/buf.png","#00338D","#C60C30"
"Kyler Murray","Kyler","Murray","2024","10","2.256959400000001","0.7914372000000003","1.1776884000000007","3.0","0.6","242.3512942","72.8677492","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lsladvvsaptc29bbcah2","ARI","00-0035228","3917315.0","1997-08-07","70.0","207.0","1.0","Oklahoma","00-0035228_2024","#1","311.0","276","191.0","82.0","3.0","12.0","2058.0","15.0","-88.0","38","379.0","4.0","7.456521739130435","0.0434782608695652","0.0108695652173913","0.6920289855072463","0.0326086956521739","9.973684210526317","7.130584192439863","100.78502415458937","7.307971014492754","-1.355072463768116","2.395363937269373","60.6287287169","0.1757354455562318","0.5159420289855072","0.0280747682132578","0.0309175556251548","0.0229459822313549","0.0442616504299915","0.0234115757906736","-0.0330344409746606","0.0029788127860418","2.612729092745563e-05","0.0043213991139934","6","4","0","2","1.49088269432774","10","75.5","Cardinals","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png","#97233F","#000000"
"Joe Burrow","Joe","Burrow","2024","10","2.2139390000000003","0.4865152","1.5624796000000003","4.0","0.4","247.053771","77.570226","https://static.www.nfl.com/image/private/f_auto,q_auto/league/jzzqz5ubkilrn9dpxtlp","CIN","00-0036442","3915511.0","1996-12-10","76.0","216.0","9.0","Louisiana State","00-0036442_2024","#9","395.0","358","246.0","108.0","4.0","24.0","2672.0","23.0","-124.0","20","130.0","1.0","7.463687150837988","0.0670391061452514","0.0111731843575419","0.6871508379888268","0.0558659217877094","6.5","7.475065616797901","108.1354748603352","7.187150837988827","-0.8100558659217877","5.212539728197674","90.0374565515","0.2143748965511904","0.5261904761904762","-0.0064041270255827","0.0197379973798132","-0.0125503131122268","0.0331942019413787","0.0402928059868537","0.0698370069677099","0.0141028637622322","1.1049926641741346e-05","0.0070078831696095","4","6","0","0","2.943310931236","10","74.4","Bengals","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","#FB4F14","#000000"
"Jalen Hurts","Jalen","Hurts","2024","9","1.9803538000000005","0.0893024000000002","0.7263495999999998","5.0","0.7777777777777778","226.428936","56.945391","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k2p5yb4qmqwoo3qcapgt","PHI","00-0036389","4040715.0","1998-08-07","73.0","218.0","1.0","Oklahoma","00-0036389_2024","#1","284.0","234","164.0","65.0","5.0","12.0","1976.0","26.0","-193.0","77","392.0","10.0","8.444444444444445","0.0512820512820512","0.0213675213675213","0.7008547008547008","0.0299145299145299","5.090909090909091","6.915384615384616","103.8639601139601","8.320512820512821","-0.3418803418803419","8.496444765909091","60.939192714","0.1736159336581196","0.5128205128205128","0.0951657661946452","-0.0501501587709804","0.0430485031723681","0.0310152039194007","0.0609307752437097","-0.0369487635037329","-0.0256249335843285","2.612729092745563e-05","0.0049505839908376","7","2","0","1","1.737654980784","9","64.4","Eagles","https://a.espncdn.com/i/teamlogos/nfl/500/phi.png","#004C54","#A5ACAF"
"Patrick Mahomes","Patrick","Mahomes","2024","9","1.8179006000000004","-0.1101499999999998","-1.4060227999999997","6.0","1.0","177.6294922222222","8.145947222222231","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qrdbvu4iqy7wkqg8jq8d","KC","00-0033873","3139477.0","1995-09-17","74.0","230.0","15.0","Texas Tech","00-0033873_2024","#15","354.0","310","216.0","85.0","9.0","12.0","2208.0","20.0","-124.0","24","192.0","1.0","7.122580645161291","0.0387096774193548","0.0290322580645161","0.6967741935483871","0.0096774193548387","8.0","5.815151515151515","90.63172043010752","5.790322580645161","-2.535483870967742","4.101139294827586","51.744867379","0.1387261860026809","0.514745308310992","0.0214175653173127","0.0284260392644678","0.0461168521349645","-0.0451921196799668","-0.0791888214894701","0.1234103590978497","-0.0123010195857186","-0.0001160818109492","0.0071909517497855","9","0","0","2","2.68222500267","9","67.8","Chiefs","https://a.espncdn.com/i/teamlogos/nfl/500/kc.png","#E31837","#FFB612"
"Brock Purdy","Brock","Purdy","2024","9","1.1509590000000005","0.2011095999999997","0.6146727999999996","7.0","0.5555555555555556","207.1598741111111","37.67632911111112","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/myvg8siij2bn9ecx7btm","SF","00-0037834","4361741.0","1999-12-27","73.0","212.0","13.0","Iowa State","00-0037834_2024","#13","327.0","277","181.0","89.0","7.0","12.0","2454.0","18.0","-85.0","40","231.0","3.0","8.859205776173285","0.0433212996389891","0.0252707581227436","0.6534296028880866","0.0180505415162454","5.775","7.776271186440678","97.36010830324908","9.173285198555956","0.2382671480144404","2.508795494444444","81.3514971729","0.2311122078775568","0.53125","0.0162039057553831","0.0320130441709387","-0.0148378863197485","-0.0060613390948766","0.2086646926098543","-0.0671877221490595","0.0060942467955115","6.98549869501829e-05","0.0049726144994318","5","4","0","0","1.7503603038","9","66.6","49ers","https://a.espncdn.com/i/teamlogos/nfl/500/sf.png","#AA0000","#B3995D"
"Kirk Cousins","Kirk","Cousins","2024","10","0.7712318000000005","-0.3319384000000002","-0.5270155999999997","8.0","0.6","172.8082545","3.32470950000001","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yt6n07jezvfmcsoq0j13","ATL","00-0029604","14880.0","1988-08-19","75.0","202.0","18.0","Michigan State","00-0029604_2024","#18","352.0","330","227.0","95.0","8.0","17.0","2634.0","20.0","-144.0","3","17.0","0.0","7.981818181818181","0.0515151515151515","0.0242424242424242","0.6878787878787879","0.0272727272727272","5.666666666666667","7.057142857142857","99.7348484848485","7.581818181818182","-1.824242424242424","2.9959292","53.4888924775","0.1407602433618421","0.5","-0.0313644286203195","0.0092603598635225","0.0077270293696653","-0.0193455184220297","0.0723439672497736","0.0428545616147023","0.0031047318035856","2.612729092745563e-05","0.0058237327106578","6","4","0","2","2.21301843005","10","58.0","Falcons","https://a.espncdn.com/i/teamlogos/nfl/500/atl.png","#A71930","#000000"
"Baker Mayfield","Baker","Mayfield","2024","10","0.6123030000000006","-0.3468407999999999","2.0879516","9.0","0.4","227.61634050000004","58.13279550000001","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xrbgtbyy8a7l0ux13hjy","TB","00-0034855","3052587.0","1995-04-14","73.0","215.0","6.0","Oklahoma","00-0034855_2024","#6","391.0","343","243.0","91.0","9.0","24.0","2505.0","24.0","-143.0","28","197.0","2.0","7.303206997084548","0.0699708454810495","0.0262390670553935","0.7084548104956269","0.0437317784256559","7.035714285714286","6.640326975476839","103.94193391642372","6.142857142857143","-2.825072886297376","1.5571480412979353","65.5223425725","0.1590348120691747","0.5121359223300971","-0.0119073534197574","0.0142548295030217","0.0505251155055493","-0.0140248948732305","-0.0986520411741124","0.1552677086099293","0.007391908039278","2.612729092745563e-05","0.0034715467272063","4","6","0","0","1.430277251609","10","56.0","Buccaneers","https://a.espncdn.com/i/teamlogos/nfl/500/tb.png","#A71930","#322F2B"
"Russell Wilson","Russell","Wilson","2024","3","0.5475466000000005","-0.4269971999999996","-0.2227643999999998","10.0","1.0","169.425438","-0.0581069999999878","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u36rhg0md8ey3b4khbre","PIT","00-0029263","14881.0","1988-11-29","71.0","215.0","3.0","Wisconsin","00-0029263_2024","#3","95.0","84","50.0","33.0","1.0","6.0","737.0","8.0","-46.0","6","17.0","1.0","8.773809523809524","0.0714285714285714","0.0119047619047619","0.5952380952380952","0.0595238095238095","2.833333333333333","8.326086956521738","107.09325396825398","10.023809523809524","0.9047619047619048","2.6266899113924054","24.887990269","0.2393075987403846","0.4423076923076923","-0.0168764686101981","-0.0320115032154248","-0.0679652873796261","0.0790400768360674","0.2114525042862311","0.0008022190182044","0.0086865131001443","2.612729092745563e-05","0.0062213415827884","3","0","0","2","0.64701952461","3","54.1","Steelers","https://a.espncdn.com/i/teamlogos/nfl/500/pit.png","#000000","#FFB612"
"Dak Prescott","Rayne","Prescott","2024","8","0.3993978000000004","-0.2125684000000001","-1.6085564","13.0","0.375","142.527525125","-26.956019874999992","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xmtaggdnhuyl4pdwtv8j","DAL","00-0033077","2577417.0","1993-07-29","74.0","238.0","4.0","Mississippi State","00-0033077_2024","#4","311.0","284","185.0","91.0","8.0","11.0","1978.0","21.0","-112.0","11","56.0","1.0","6.964788732394366","0.0387323943661971","0.028169014084507","0.6514084507042254","0.0105633802816901","5.090909090909091","5.659016393442623","86.56103286384976","7.98943661971831","-0.8732394366197183","-0.8513057148014439","-3.662696489199999","-0.0107410454228738","0.436950146627566","-0.0235797339660519","0.0125122228842818","-0.019543236850357","-0.0217247526487622","0.0023798910623928","-0.024216994082179","0.0080353491516332","-0.000757202738398","0.0038274425644536","3","5","0","0","1.3051579144787","8","46.9","Cowboys","https://a.espncdn.com/i/teamlogos/nfl/500/dal.png","#002244","#B0B7BC"
"Derek Carr","Derek","Carr","2024","7","0.2560978","0.2961032","0.1685635999999999","11.0","0.4285714285714285","183.3339752857143","13.850430285714294","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsz1pyrlu6bmvby6maaf","NO","00-0031280","16757.0","1991-03-28","75.0","210.0","4.0","Fresno State","00-0031280_2024","#4","195.0","184","124.0","56.0","4.0","11.0","1494.0","6.0","-32.0","9","41.0","1.0","8.119565217391305","0.0597826086956521","0.0217391304347826","0.6739130434782609","0.0380434782608695","4.555555555555555","7.905263157894737","102.94384057971013","7.8478260869565215","-1.3043478260869563","4.395748619883041","35.711017494","0.1692465284075829","0.4360189573459715","-0.0426537037350614","0.0746568835144329","-0.02125776857403","-0.0057551906607426","-0.0037092456629577","0.1201295048417553","-0.0083434910180656","2.612729092745563e-05","0.0028448623545781","3","4","0","0","0.600265956816","7","61.4","Saints","https://a.espncdn.com/i/teamlogos/nfl/500/no.png","#D3BC8D","#000000"
"Justin Herbert","Justin","Herbert","2024","9","0.2140474000000006","0.3093036000000006","-0.2856623999999999","12.0","0.6666666666666666","158.01757555555554","-11.465969444444436","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vvwim9hpgq1zs3bufmr0","LAC","00-0036355","4038941.0","1998-03-10","78.0","237.0","10.0","Oregon","00-0036355_2024","#10","275.0","240","159.0","80.0","1.0","11.0","1889.0","21.0","-117.0","20","131.0","1.0","7.870833333333334","0.0458333333333333","0.0041666666666666","0.6625","0.0416666666666666","6.55","7.459770114942529","103.62847222222224","7.9875","-1.3041666666666667","2.2162214","30.948286206","0.1045550209662162","0.429054054054054","-0.0172927276985557","0.0044560538453859","-0.0239198119040543","0.0658734743802462","0.0138136677225616","0.0178368927791192","-0.0121018945090032","-0.000264045918532","0.0026222899446283","6","3","0","0","0.7761978236099999","9","59.7","Chargers","https://a.espncdn.com/i/teamlogos/nfl/500/lac.png","#007BC7","#ffc20e"
"Tua Tagovailoa","Tua","Tagovailoa","2024","5","0.1859730000000002","-0.3159307999999998","-0.0879208000000005","13.0","0.4","169.1449878","-0.3385571999999968","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xzdbwt2ezmxk3pjcsr1n","MIA","00-0036212","4241479.0","1998-03-02","73.0","218.0","1.0","Alabama","00-0036212_2024","#1","170.0","156","113.0","39.0","4.0","6.0","1155.0","9.0","-75.0","5","45.0","0.0","7.403846153846154","0.0384615384615384","0.0256410256410256","0.7243589743589743","0.0128205128205128","9.0","6.181818181818182","95.4326923076923","5.711538461538462","-3.0961538461538463","2.833067319078947","29.600853654","0.1681866684886363","0.5113636363636364","0.0133578592744172","0.0089880092845751","0.0317453342768424","-0.0306509399471493","-0.1516745545813388","0.2465449667196905","-0.0063035489715339","2.612729092745563e-05","0.0056088665696022","2","3","0","1","0.98716051625","5","52.1","Dolphins","https://a.espncdn.com/i/teamlogos/nfl/500/mia.png","#008E97","#F58220"
"Jayden Daniels","Jayden","Daniels","2024","10","0.1827326000000005","-0.4621651999999994","2.169084","14.0","0.7","228.7086395","59.2250945","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mh9rkwpmq1rgfarg9rpm","WAS","00-0039910","4426348.0","2000-12-18","76.0","210.0","5.0","Louisiana State","00-0039910_2024","#5","322.0","262","180.0","80.0","2.0","9.0","2147.0","20.0","-111.0","76","472.0","4.0","8.194656488549619","0.0343511450381679","0.0076335877862595","0.6870229007633588","0.0267175572519084","6.2105263157894735","7.539007092198582","101.7493638676845","7.690839694656488","-1.1641221374045805","4.660751906374501","102.4617193367","0.2725045727039893","0.5026595744680851","0.0538233839526087","0.0310317572367027","0.031719281271765","0.0613319360320575","0.0428281853033178","-0.0169003884283995","0.0124883409438432","2.8662351565753503e-05","0.0065994029588252","7","3","0","1","2.4813755125183","10","71.3","Commanders","https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png","#5A1414","#FFB612"
"Jordan Love","Jordan","Love","2024","7","0.1810634000000004","-0.2200908000000004","-0.7728075999999998","14.0","0.5714285714285714","153.88371771428572","-15.599827285714271","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a8xqle2vmsnumawdhswb","GB","00-0036264","4036378.0","1998-11-02","76.0","220.0","10.0","Utah State","00-0036264_2024","#10","252.0","240","147.0","83.0","10.0","15.0","1820.0","7.0","-67.0","5","33.0","0.0","7.583333333333333","0.0625","0.0416666666666666","0.6125","0.0208333333333333","6.6","6.489878542510121","88.19444444444446","9.158333333333331","0.2","-1.2790357682403433","26.844289162800003","0.1005404088494382","0.4681647940074906","-0.007187946811725","0.0732518222527399","-0.025685343558321","-0.1058330891661653","0.0569500511251175","0.0202980440648768","0.0326106545013976","-1.7197055514491934e-05","0.0020434115797003","4","3","0","1","0.54559089178","7","55.5","Packers","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","#203731","#FFB612"
